,model_name,model_variation,dimension,female_names,male_names
258,Apertus-8B-Instruct-2509,liberal_3-g-n,Religion,-0.0438441411350638,0.0438441411350679
259,Meta-Llama-3-8B,conservative_5-g-n,Sociability,0.3615466087157604,-0.3615466087157604
260,Meta-Llama-3-8B,conservative_5-g-n,Morality,0.3983453153204692,-0.3983453153204689
261,Meta-Llama-3-8B,conservative_5-g-n,Ability,-0.1853131006799113,0.1853131006799113
262,Meta-Llama-3-8B,conservative_5-g-n,Agency,-0.4409400402536816,0.440940040253681
263,Meta-Llama-3-8B,conservative_5-g-n,Status,-0.1903629357784745,0.190362935778474
264,Meta-Llama-3-8B,conservative_5-g-n,Politics,-0.2242116574100257,0.2242116574100257
265,Meta-Llama-3-8B,conservative_5-g-n,Religion,0.022097657525254,-0.0220976575252541
266,Meta-Llama-3-8B,democratic_3-g-n,Sociability,0.2834485859322403,-0.2834485859322404
267,Meta-Llama-3-8B,democratic_3-g-n,Morality,0.3976939291100475,-0.397693929110048
268,Meta-Llama-3-8B,democratic_3-g-n,Ability,-0.1014308822696333,0.1014308822696332
269,Meta-Llama-3-8B,democratic_3-g-n,Agency,-0.4154479351127119,0.4154479351127126
270,Meta-Llama-3-8B,democratic_3-g-n,Status,-0.2852493218692369,0.2852493218692373
271,Meta-Llama-3-8B,democratic_3-g-n,Politics,-0.2231845546874988,0.2231845546874982
272,Meta-Llama-3-8B,democratic_3-g-n,Religion,0.0263448782085315,-0.0263448782085318
273,Qwen3-8B,conservative_2-g-n,Sociability,0.4451167534801831,-0.4451167534801836
274,Qwen3-8B,conservative_2-g-n,Morality,0.4839040310071377,-0.4839040310071375
275,Qwen3-8B,conservative_2-g-n,Ability,-0.1262162622850623,0.1262162622850621
276,Qwen3-8B,conservative_2-g-n,Agency,-0.4283731749619832,0.4283731749619829
277,Qwen3-8B,conservative_2-g-n,Status,-0.0141630820217877,0.0141630820217882
278,Qwen3-8B,conservative_2-g-n,Politics,-0.0651781454147198,0.0651781454147197
279,Qwen3-8B,conservative_2-g-n,Religion,-0.1196848792328971,0.1196848792328973
280,Apertus-8B-Instruct-2509,liberal_6-g-n,Sociability,0.5496971813671686,-0.5496971813671684
281,Apertus-8B-Instruct-2509,liberal_6-g-n,Morality,0.1788175260279133,-0.1788175260279156
282,Apertus-8B-Instruct-2509,liberal_6-g-n,Ability,-0.0319990114317975,0.0319990114317975
283,Apertus-8B-Instruct-2509,liberal_6-g-n,Agency,-0.4793347435045361,0.4793347435045373
284,Apertus-8B-Instruct-2509,liberal_6-g-n,Status,-0.1288531275815294,0.1288531275815278
285,Apertus-8B-Instruct-2509,liberal_6-g-n,Politics,0.2043520879206249,-0.2043520879206248
286,Apertus-8B-Instruct-2509,liberal_6-g-n,Religion,0.0420769495344631,-0.042076949534461
287,Qwen3-8B,democratic_4-g-n,Sociability,0.4239474505862318,-0.4239474505862313
288,Qwen3-8B,democratic_4-g-n,Morality,0.5112152405255465,-0.511215240525547
289,Qwen3-8B,democratic_4-g-n,Ability,-0.0927259818653529,0.0927259818653526
290,Qwen3-8B,democratic_4-g-n,Agency,-0.4416650993892286,0.4416650993892281
291,Qwen3-8B,democratic_4-g-n,Status,-0.0758103134808855,0.0758103134808856
